#,Name,Team,Pos,Week of,Opp,$,$/G,G,GS,QS,W,L,SV,HLD,IP,H,ER,K,BB,HR,ERA,WHIP,R%,RazzID,NFBCID
25,Merrill Kelly,ARI,SP,4/17,@STL(MO) / SD(SA),2.6,-14.0,2.0,2,0.9,0.5,0.7,0.0,0.0,10.9,10.8,5.4,8.7,3.8,1.5,4.42,1.34,99,518876,10506
26,Chris Flexen,SEA,SP,4/17,MIL(MO) / STL(SU),1.9,-14.1,2.0,2,0.9,0.5,0.7,0.0,0.0,11.0,11.0,5.7,8.5,3.4,2.0,4.60,1.32,4,623167,9502
27,Drey Jameson,ARI,SP,4/17,@STL(TU) / SD(SU),1.8,-15.8,2.0,2,0.9,0.6,0.7,0.0,0.0,11.0,11.2,5.6,8.6,4.1,1.3,4.52,1.40,78,686753,11403
28,Hayden Wesneski,CHC,SP,4/17,@OAK(MO) / LAD(SA),1.5,-15.5,2.0,2,0.9,0.5,0.8,0.0,0.0,10.8,10.5,5.4,8.5,4.1,1.5,4.47,1.34,96,669713,11411
29,Jared Shuster,ATL,SP,4/17,@SD(MO) / HOU(SU),-3.6,-24.3,2.0,2,0.7,0.5,0.6,0.0,0.0,10.0,10.4,5.3,7.1,3.9,1.6,4.78,1.42,15,694363,10849
30,Vince Velasquez,PIT,SP,4/17,@COL(TU) / CIN(SU),-4.1,-23.9,2.0,2,0.8,0.5,0.7,0.0,0.0,10.3,11.0,5.9,8.4,3.8,1.7,5.13,1.43,0,11189,9070
31,Jordan Lyles,KC,SP,4/17,TEX(MO) / @LAA(SU),-5.6,-26.8,2.0,2,1.2,0.4,1.2,0.0,0.0,12.8,13.9,7.2,9.6,4.1,2.2,5.05,1.39,1,7593,7993
32,Ryan Weathers,SD,SP,4/17,ATL(MO) / @ARI(SU),-6.5,-29.0,2.0,2,0.7,0.5,0.6,0.0,0.0,9.8,10.5,5.4,6.4,3.8,1.6,5.00,1.45,0,677960,10325
33,Rich Hill,PIT,SP,4/17,@COL(MO) / CIN(SA),-7.4,-28.7,2.0,2,0.8,0.5,0.7,0.0,0.0,10.3,12.1,6.0,7.2,3.0,1.6,5.21,1.45,0,4806,5831
34,Jalen Beeks,TB,SP,4/17,@CIN(MO) / CHW(SU),-9.1,-33.1,2.0,2,0.0,0.0,0.2,0.0,0.0,3.4,3.1,1.5,3.3,1.2,0.4,4.10,1.28,0,656222,9833
35,Kyle Freeland,COL,SP,4/17,PIT(MO) / @PHI (SA),-9.6,-31.6,2.0,2,1.0,0.5,0.8,0.0,0.0,11.8,14.3,7.0,7.8,3.2,1.8,5.41,1.49,8,607536,8941
36,Jose Urena,COL,SP,4/17,PIT(TU) / @PHI (SU),-12.0,-36.0,2.0,2,0.7,0.5,0.7,0.0,0.0,10.3,12.2,6.3,7.3,4.0,1.7,5.53,1.57,0,11589,9010
